340d2d3,Thomas Wachmer,7 weeks ago,Add weekly calendar functions
ab1719a,Thomas Wachmer,7 weeks ago,Add php script to change database values with supplied values.
ca64e42,Thomas Wachmer,7 weeks ago,* Make page take values from database
9c94250,putl0014,7 weeks ago,Renaming to Student Login
4c0ae14,Lachlan Klenk,7 weeks ago,Credits
fd46c3b,putl0014,7 weeks ago,JS changes
151f6bb,main0074,7 weeks ago,Merge pull request #19 from putl0014/feature/putl0014/LoginHTML
c70d169,main0074,7 weeks ago,Merge branch 'main' into feature/putl0014/LoginHTML
b8924d9,Lachlan Klenk,7 weeks ago,Visual Fix
703d5ae,Lachlan Klenk,8 weeks ago,fixing space issue
8f913f4,Xplict1,10 weeks ago,Admin dashboard frontend
8a4ef57,Xplict1,10 weeks ago,page formatting
5504ba6,Xplict1,10 weeks ago,Created admin dashboard pageCool Commit Message
c0d898c,Liam maney,10 weeks ago,Update pr-roster.md
d5141b2,putl0014,8 weeks ago,Updating the PHP image
c4243ab,Thomas Wachmer,8 weeks ago,commit to rebase
e12cdbf,putl0014,8 weeks ago,Updated JS Function name
f00bf17,putl0014,8 weeks ago,Update login.css
debee15,putl0014,8 weeks ago,Updates to CSS and adding JS script
40d171a,putl0014,8 weeks ago,Updating the PHP image
9df3424,putl0014,8 weeks ago,Login page css changes
0e82d16,Thomas Wachmer,9 weeks ago,* Add perosnal files to .gitignore * Create setup.sql and add some db definitions (Will need work) * Create script.js and add skill selection from dropdowns (JS is bad) * Create styles.css and add some temporary rules (All for testing, it looks bad) * Create account.php and add form for changing profile information * Create update-details.php ready to handle post from account.php
2eb2075,Lachlan Klenk,9 weeks ago,Student Homepage Base
688b3a2,Lachlan Klenk,9 weeks ago,Merge pull request #20 from putl0014/Admin-Dashboard-HTML
3ef22f2,Liam maney,10 weeks ago,Update pr-roster.md
b77f021,Xplict1,10 weeks ago,Admin dashboard frontend
c7abf5e,Xplict1,10 weeks ago,page formatting
0df20ff,Xplict1,10 weeks ago,Created admin dashboard page
ddb6bc1,putl0014,10 weeks ago,Update pr-roster.md
24d0a1f,putl0014,10 weeks ago,CSS File name change
e1e557c,putl0014,10 weeks ago,Basic Login Page
fa17c45,putl0014,10 weeks ago,Created Loginpage.html
9f61fc8,putl0014,2 months ago,Adding in the change log
d873371,Jayden Putland,2 months ago,Delete .vscode directory
96a353a,wach0035,2 months ago,Merge pull request #18 from putl0014/Collating-the-Report
1a5d186,putl0014,2 months ago,Adding SIte map to Report
fe355ec,wach0035,2 months ago,Merge pull request #17 from putl0014/Site-Map
8d59610,putl0014,2 months ago,Create Site Map.png
81c881f,putl0014,2 months ago,Vs code stuff
ce34e52,putl0014,2 months ago,Update FUSSUserResearchandLowFidelityDesign.md
261ded5,putl0014,2 months ago,Collating the Report
daf29c1,Jayden Putland,2 months ago,Merge pull request #16 from putl0014/User-Personas
63752f3,Lachlan Klenk,2 months ago,Merge pull request #9 from putl0014/Target-Audience-Profile
c089cbf,Lachlan Klenk,2 months ago,Update pr-roster.md
5a4e1f4,Jayden Putland,2 months ago,Merge branch 'main' into Target-Audience-Profile
73c298e,Jayden Putland,2 months ago,Merge pull request #10 from putl0014/Scope-Statement
6a4f861,Lachlan Klenk,2 months ago,Update pr-roster.md
483199c,Lachlan Klenk,2 months ago,Formatting
351fd01,Jayden Putland,2 months ago,Merge branch 'main' into Target-Audience-Profile
cf101d3,Jayden Putland,2 months ago,Merge branch 'main' into Scope-Statement
bf469f2,wach0035,2 months ago,Merge pull request #6 from putl0014/Website-Concept
bcfb129,Jayden Putland,2 months ago,Merge pull request #15 from putl0014/docs/WACH0035/Storyboards
dca732a,Jayden Putland,2 months ago,Merge pull request #14 from putl0014/User-Flow-Diagram
fd94736,Thomas Wachmer,2 months ago,Added document showing storyboards
6edb25b,Thomas Wachmer,2 months ago,Fix one of the storyboards
632b5f5,Thomas Wachmer,2 months ago,Update roster
10e1fc7,Thomas Wachmer,2 months ago,Add storyboard for deleting an account
9548aa1,Thomas Wachmer,2 months ago,Add storyboard for receiving a request
0916881,Xplict1,2 months ago,Reupload user flow image 1
e8c267c,Thomas Wachmer,2 months ago,Add storyboard for adding a skill
c912962,Thomas Wachmer,2 months ago,Add storyboard for creating a service request
a7bcfc5,Thomas Wachmer,2 months ago,Add storyboard for changing availability
8b35045,Xplict1,2 months ago,User flow Diagram upload
668e3d9,Jayden Putland,2 months ago,Merge pull request #13 from putl0014/Competitor-Analysis
15890b9,main0074,2 months ago,Update competitor analysis section
6c9c438,Jayden Putland,2 months ago,Merge pull request #12 from putl0014/docs/WACH0035/Fix-Annotated-Wireframes
d021c09,Thomas Wachmer,2 months ago,Fixed annotations for the wireframes
d29d8e7,Jayden Putland,2 months ago,Merge pull request #11 from putl0014/docs/WACH0035/Wireframes
4f8866c,Thomas Wachmer,2 months ago,Update roster
